Id,Email,Role,IsBlocked,CreatedAt
5f2395a3-9746-4127-a1d8-4ed25eaeb799,admin@gmail.com,Admin,False,2025-12-31T07:28:52.4234902
64a5ec70-b1aa-405c-a618-097a5916aac6,doctor@gmail.com,Doctor,False,2025-12-31T10:26:35.3590778
1dec9343-0ced-4199-bcb8-0f68b1b55301,patient@gmail.com,Patient,False,2025-12-31T10:28:16.0028890
af603bc5-bbf8-4a53-a76f-b6c2317d3341,patient2@gmail.com,Patient,False,2026-01-02T09:01:26.9976415
ef3be5ee-9cb7-4aec-a8b1-62514c5b9cf6,patient3@gmail.com,Patient,False,2026-01-02T18:14:17.4147529
8fc17903-5353-4a37-b1b3-d66ad99c8cb6,patient4@gmail.com,Patient,False,2026-01-02T18:27:17.2776860
e87856aa-26b3-4c8f-a628-fea397376ace,patient5@gmail.com,Patient,False,2026-01-03T12:19:24.0180237
3ca37bd0-98ec-415a-81f4-e6e9b0f9a1e4,doctor2@gmail.com,Doctor,False,2026-01-03T12:22:59.6003792
5fa7dbcb-fd74-4a4a-bb1a-b34f2fab9dce,doctor3@gmail.com,Doctor,False,2026-01-03T12:32:58.0682152
ac85e084-479f-4b40-bf73-98e11c8a27ab,doctor4@gmail.com,Doctor,False,2026-01-03T17:32:04.5483533
